sent_id,situation,emotion,age_group,sex,text
E00019,학업,불안,청년,F,취업 준비랑 학교 수업을 같이 하니까 시간이 없어. 괜히 예민해지는 것 같아.
E00020,직장,상처,중년,M,상사한테 보고서 때문에 한 소리 들었어. 아무렇지 않은 척하는 게 제일 힘들어.
E00021,직장,불안,청년,M,상사한테 보고서 때문에 한 소리 들었어. 잠도 잘 안 오고 계속 뒤척여.
E00022,가족,당황,노년,F,명절에 친척들이 취업 얘기만 물어봤어요. 속이 좀 시끄러워.
E00023,금전,슬픔,중년,M,주식이 반토막 났어. 속이 좀 시끄러워.
E00024,학업,불안,청년,F,같은 조 애들이 아무것도 안 해. 걱정돼서 밥도 잘 안 넘어가.
E00025,직장,불안,중년,M,상사한테 보고서 때문에 한 소리 들었어. 며칠째 마음이 안 좋아.
E00026,연애,기쁨,중년,F,소개팅에서 만난 사람이 또 연락 왔어. 너무 좋아서 아직도 실감이 안 나.
E00027,건강,기쁨,중년,F,다이어트 목표를 드디어 달성했어. 누구한테라도 자랑하고 싶어.
E00028,대인관계,상처,청년,M,모임에서 나만 빼고 약속을 잡았더라. 아무렇지 않은 척하는 게 제일 힘들어.
E00029,가족,기쁨,중년,M,아이가 학교에서 상을 받아 왔어. 이런 내가 좀 낯설어.
E00030,직장,분노,중년,F,동기가 먼저 승진했어. 짜증이 나서 아무것도 손에 안 잡혀.
E00031,직장,슬픔,청년,M,출근길에 지하철에서 쓰러질 뻔했어. 그냥 하루 종일 눈물만 나.
E00032,건강,당황,청년,F,허리가 아파서 오래 못 앉아 있어. 어떻게 반응해야 할지 모르겠더라.
E00033,금전,당황,청년,F,전세 만기가 다가오는데 돈이 부족해. 너무 갑작스러워서 아직도 얼떨떨해.
E00034,건강,기쁨,중년,F,다이어트 목표를 드디어 달성했어. 그동안 고생한 보람이 있네.
E00035,가족,불안,청년,F,엄마가 병원에 입원하셨어. 앞으로 어떻게 될지 몰라서 계속 불안해.
E00036,학업,기쁨,중년,F,교수님이 내 발표를 칭찬해 주셨어. 누구한테라도 자랑하고 싶어.
E00037,학업,불안,청년,F,취업 준비랑 학교 수업을 같이 하니까 시간이 없어. 심장이 계속 두근거려.
E00038,대인관계,슬픔,청년,F,모임에서 나만 빼고 약속을 잡았더라. 뭘 해도 마음이 텅 빈 것 같아.
E00039,연애,슬픔,청년,F,헤어진 지 한 달 됐는데 아직 생각나. 밤에 잠도 안 오고 계속 그 생각만 나.
E00040,대인관계,분노,중년,F,친한 친구가 내 뒷담화를 했대. 하루 종일 그 생각만 나.
E00041,연애,기쁨,청년,F,오늘 프러포즈 받았어. 진짜 오랜만에 기분이 날아갈 것 같아.
E00042,대인관계,슬픔,청년,M,친구가 돈을 빌려 가고 연락이 없어. 이런 내가 좀 낯설어.
E00043,가족,분노,중년,M,부모님이 자꾸 결혼 얘기를 하셔. 기분이 계속 가라앉아.
E00044,학업,슬픔,청년,M,같은 조 애들이 아무것도 안 해. 이런 내가 좀 낯설어.
E00045,연애,슬픔,중년,F,여자친구가 갑자기 연락을 끊었어. 잠도 잘 안 오고 계속 뒤척여.
E00046,대인관계,상처,중년,M,친한 친구가 내 뒷담화를 했대. 이런 내가 좀 낯설어.
E00047,직장,불안,청년,F,동기가 먼저 승진했어. 앞으로 어떻게 될지 몰라서 계속 불안해.
E00048,학업,슬픔,중년,F,밤새 공부했는데 문제가 다 처음 보는 거였어. 요즘 왜 이렇게 다 허무한지 모르겠어.
E00049,직장,불안,청년,F,상사한테 보고서 때문에 한 소리 들었어. 잘못될까 봐 밤에 잠이 안 와.
E00050,연애,상처,청년,F,여자친구가 갑자기 연락을 끊었어. 그 말이 계속 마음에 남아.
E00051,대인관계,상처,중년,F,모임에서 나만 빼고 약속을 잡았더라. 나를 그렇게밖에 안 봤다는 게 서운해.
E00052,금전,불안,노년,F,카드값이 월급보다 많이 나왔어요. 심장이 계속 두근거려.
E00053,연애,슬픔,청년,F,헤어진 지 한 달 됐는데 아직 생각나. 요즘 왜 이렇게 다 허무한지 모르겠어.
E00054,건강,슬픔,청년,F,요즘 잠을 통 못 자. 뭘 해도 마음이 텅 빈 것 같아.
E00055,직장,당황,청년,M,프로젝트 마감이 코앞인데 아무것도 안 됐어. 괜히 예민해지는 것 같아.
E00056,건강,불안,청년,F,두통이 며칠째 안 가. 자꾸 최악의 상황만 상상하게 돼.
E00057,직장,상처,청년,F,동기가 먼저 승진했어. 그 말이 계속 마음에 남아.
E00058,금전,상처,노년,M,전세 만기가 다가오는데 돈이 부족해. 하루 종일 그 생각만 나.
E00059,대인관계,분노,청년,F,모임에서 나만 빼고 약속을 잡았더라. 아무것도 손에 안 잡혀.
E00060,대인관계,분노,청년,F,친한 친구가 내 뒷담화를 했대. 생각할수록 열받아.
E00061,건강,불안,중년,M,두통이 며칠째 안 가. 이런 내가 좀 낯설어.
E00062,건강,불안,청년,F,병원에서 재검사하래. 속이 좀 시끄러워.
E00063,학업,분노,노년,F,같은 조 애들이 아무것도 안 해. 그냥 좀 지쳐.
E00064,연애,상처,청년,M,남자친구랑 어제 크게 싸웠어. 믿었던 사람한테 이런 일 당하니까 더 아파.
E00065,연애,분노,노년,F,헤어진 지 한 달 됐는데 아직 생각나요. 왜 나한테만 이러는 건지 억울해요.
E00066,가족,기쁨,청년,M,아이가 학교에서 상을 받아 왔어. 너무 좋아서 아직도 실감이 안 나.
E00067,직장,분노,노년,F,팀장이 내 아이디어를 자기 거라고 발표했어. 왜 나한테만 이러는 건지 억울해.
E00068,대인관계,분노,청년,F,이웃이 층간소음으로 찾아왔어. 진짜 화가 나서 참을 수가 없어.
E00069,가족,기쁨,중년,F,아이가 학교에서 상을 받아 왔어. 진짜 오랜만에 기분이 날아갈 것 같아.
E00070,건강,분노,청년,M,건강검진 결과가 안 좋게 나왔어. 이게 말이 되냐고.
E00071,연애,불안,중년,F,애인이 내 생일을 잊었어. 자꾸 최악의 상황만 상상하게 돼.
E00072,직장,기쁨,중년,F,동료가 내 실수를 다 덮어줬어. 괜히 예민해지는 것 같아.
E00073,연애,기쁨,중년,F,소개팅에서 만난 사람이 또 연락 왔어. 그동안 고생한 보람이 있네.
E00074,가족,당황,중년,M,부모님이 자꾸 결혼 얘기를 하셔. 너무 갑작스러워서 아직도 얼떨떨해.
E00075,연애,기쁨,중년,F,오늘 프러포즈 받았어. 누구한테라도 자랑하고 싶어.
E00076,가족,불안,청년,F,아빠랑 또 말다툼했어. 속이 좀 시끄러워.
E00077,직장,슬픔,중년,F,출근길에 지하철에서 쓰러질 뻔했어. 괜히 예민해지는 것 같아.
E00078,학업,상처,중년,F,시험 성적이 생각보다 안 나왔어. 이런 내가 좀 낯설어.
E00079,금전,상처,노년,F,전세 만기가 다가오는데 돈이 부족해요. 괜히 예민해지는 것 같아요.
E00080,대인관계,상처,노년,F,이웃이 층간소음으로 찾아왔어. 속이 좀 시끄러워.
E00081,직장,슬픔,중년,M,퇴근하고 집에 오면 아무것도 못 하겠어. 그냥 하루 종일 눈물만 나.
E00082,금전,불안,청년,M,친구 결혼식이 세 개나 겹쳤어. 그냥 마음이 복잡해.
E00083,연애,상처,청년,M,여자친구가 갑자기 연락을 끊었어. 잠도 잘 안 오고 계속 뒤척여.
E00084,가족,슬픔,중년,M,명절에 친척들이 취업 얘기만 물어봤어. 밤에 잠도 안 오고 계속 그 생각만 나.
E00085,직장,상처,청년,F,동기가 먼저 승진했어. 그냥 좀 지쳐.
E00086,직장,분노,청년,F,이번 달도 야근 수당이 안 들어왔어. 속이 좀 시끄러워.
E00087,직장,슬픔,청년,F,프로젝트 마감이 코앞인데 아무것도 안 됐어. 아무것도 하기 싫고 자꾸 가라앉아.
E00088,직장,상처,청년,F,상사한테 보고서 때문에 한 소리 들었어. 이런 내가 좀 낯설어.
E00089,대인관계,분노,청년,F,모임에서 나만 빼고 약속을 잡았더라. 생각할수록 열받아.
E00090,건강,불안,청년,F,건강검진 결과가 안 좋게 나왔어. 며칠째 마음이 안 좋아.
E00091,가족,불안,노년,F,부모님이 자꾸 결혼 얘기를 하셔. 그냥 마음이 복잡해.
E00092,학업,슬픔,중년,F,취업 준비랑 학교 수업을 같이 하니까 시간이 없어. 아무것도 손에 안 잡혀.
E00093,직장,슬픔,중년,F,회사에서 갑자기 부서 이동하래. 아무것도 하기 싫고 자꾸 가라앉아.
E00094,연애,불안,청년,M,남자친구랑 어제 크게 싸웠어. 그냥 좀 지쳐.
E00095,대인관계,상처,청년,F,친구가 돈을 빌려 가고 연락이 없어. 잠도 잘 안 오고 계속 뒤척여.
E00096,직장,기쁨,중년,M,연봉 협상이 생각보다 잘 됐어. 너무 좋아서 아직도 실감이 안 나.
E00097,연애,당황,중년,M,애인이 내 생일을 잊었어. 이런 내가 좀 낯설어.
E00098,직장,당황,청년,M,출근길에 지하철에서 쓰러질 뻔했어. 잠도 잘 안 오고 계속 뒤척여.
E00099,학업,당황,중년,F,같은 조 애들이 아무것도 안 해. 그 자리에서 아무 말도 못 했어.
E00100,직장,기쁨,중년,F,연봉 협상이 생각보다 잘 됐어. 누구한테라도 자랑하고 싶어.
E00101,연애,기쁨,청년,M,오늘 프러포즈 받았어. 너무 좋아서 아직도 실감이 안 나.
E00102,금전,분노,청년,M,주식이 반토막 났어. 왜 나한테만 이러는 건지 억울해.
E00103,직장,슬픔,청년,F,이번 달도 야근 수당이 안 들어왔어. 속이 좀 시끄러워.
E00104,직장,분노,청년,F,출근길에 지하철에서 쓰러질 뻔했어. 당장 따지고 싶은데 참느라 힘들어.
E00105,건강,슬픔,중년,F,허리가 아파서 오래 못 앉아 있어. 이런 내가 좀 낯설어.
E00106,금전,불안,중년,F,친구 결혼식이 세 개나 겹쳤어. 속이 좀 시끄러워.
E00107,학업,불안,청년,F,같은 조 애들이 아무것도 안 해. 자꾸 최악의 상황만 상상하게 돼.
E00108,직장,불안,노년,M,상사한테 보고서 때문에 한 소리 들었어요. 심장이 계속 두근거려.
E00109,직장,당황,노년,F,이번 달도 야근 수당이 안 들어왔어. 뭐라고 해야 할지 몰라서 머리가 하얘졌어.
E00110,대인관계,당황,중년,M,친한 친구가 내 뒷담화를 했대. 아무것도 손에 안 잡혀.
E00111,가족,슬픔,청년,M,명절에 친척들이 취업 얘기만 물어봤어. 그냥 하루 종일 눈물만 나.
E00112,건강,기쁨,청년,F,다이어트 목표를 드디어 달성했어. 누구한테라도 자랑하고 싶어.
E00113,직장,불안,청년,M,오늘 회의에서 발표를 망쳤어. 앞으로 어떻게 될지 몰라서 계속 불안해.
E00114,직장,슬픔,청년,F,팀장이 내 아이디어를 자기 거라고 발표했어. 뭘 해도 마음이 텅 빈 것 같아.
E00115,연애,당황,중년,M,결혼 얘기가 나오니까 둘 다 말이 없어졌어. 예상을 완전히 벗어나서 정신이 없어.
E00116,건강,슬픔,청년,F,건강검진 결과가 안 좋게 나왔어. 그냥 마음이 복잡해.
E00117,금전,기쁨,청년,F,적금이 드디어 만기 됐어. 진짜 오랜만에 기분이 날아갈 것 같아.
E00118,직장,불안,중년,M,동기가 먼저 승진했어. 뭘 어떻게 해야 할지 모르겠어서 초조해.
E00119,가족,슬픔,청년,F,시어머니가 갑자기 집에 오신대. 괜히 예민해지는 것 같아.
E00120,직장,분노,청년,F,이번 달도 야근 수당이 안 들어왔어. 왜 나한테만 이러는 건지 억울해.
E00121,금전,기쁨,중년,F,적금이 드디어 만기 됐어. 혼자 있고 싶다가도 외로워.
E00122,학업,분노,청년,F,취업 준비랑 학교 수업을 같이 하니까 시간이 없어. 며칠째 마음이 안 좋아.
E00123,직장,당황,중년,M,팀장이 내 아이디어를 자기 거라고 발표했어. 어떻게 반응해야 할지 모르겠더라.
E00124,대인관계,기쁨,청년,F,오랜만에 옛 친구한테 연락이 왔어. 아무것도 손에 안 잡혀.
E00125,대인관계,기쁨,노년,F,새로 간 모임에서 사람들이 잘 챙겨줬어요. 오늘은 뭘 해도 다 잘될 것 같아요.
E00126,건강,불안,청년,M,허리가 아파서 오래 못 앉아 있어. 혼자 있고 싶다가도 외로워.
E00127,직장,불안,중년,F,퇴근하고 집에 오면 아무것도 못 하겠어. 앞으로 어떻게 될지 몰라서 계속 불안해.
E00128,연애,당황,중년,F,남자친구랑 어제 크게 싸웠어. 이런 내가 좀 낯설어.
E00129,연애,상처,청년,F,결혼 얘기가 나오니까 둘 다 말이 없어졌어. 며칠째 마음이 안 좋아.
E00130,직장,분노,청년,F,동기가 먼저 승진했어. 짜증이 나서 아무것도 손에 안 잡혀.
E00131,대인관계,상처,중년,M,모임에서 나만 빼고 약속을 잡았더라. 그 말이 계속 마음에 남아.
E00132,연애,불안,중년,M,여자친구가 갑자기 연락을 끊었어. 심장이 계속 두근거려.
E00133,학업,기쁨,청년,F,교수님이 내 발표를 칭찬해 주셨어. 누구한테라도 자랑하고 싶어.
E00134,연애,불안,노년,F,헤어진 지 한 달 됐는데 아직 생각나. 걱정돼서 밥도 잘 안 넘어가.
E00135,금전,불안,노년,M,카드값이 월급보다 많이 나왔어. 속이 좀 시끄러워.
E00136,학업,기쁨,청년,F,장학금 결과가 나왔어. 누구한테라도 자랑하고 싶어.
E00137,연애,당황,청년,M,애인이 내 생일을 잊었어. 예상을 완전히 벗어나서 정신이 없어.
E00138,직장,상처,중년,F,퇴근하고 집에 오면 아무것도 못 하겠어. 그냥 마음이 복잡해.
E00139,연애,불안,노년,F,남자친구랑 어제 크게 싸웠어. 괜히 예민해지는 것 같아.
E00140,연애,상처,중년,M,헤어진 지 한 달 됐는데 아직 생각나. 믿었던 사람한테 이런 일 당하니까 더 아파.
E00141,직장,상처,청년,M,프로젝트 마감이 코앞인데 아무것도 안 됐어. 괜히 예민해지는 것 같아.
E00142,직장,기쁨,청년,F,연봉 협상이 생각보다 잘 됐어. 속이 좀 시끄러워.
E00143,직장,슬픔,청년,F,오늘 회의에서 발표를 망쳤어. 속이 좀 시끄러워.
E00144,연애,불안,중년,M,여자친구가 갑자기 연락을 끊었어. 자꾸 최악의 상황만 상상하게 돼.
E00145,직장,분노,청년,M,오늘 회의에서 발표를 망쳤어. 며칠째 마음이 안 좋아.
E00146,연애,슬픔,청년,M,여자친구가 갑자기 연락을 끊었어. 그냥 하루 종일 눈물만 나.
E00147,금전,슬픔,청년,F,주식이 반토막 났어. 이런 내가 좀 낯설어.
E00148,대인관계,당황,청년,F,모임에서 나만 빼고 약속을 잡았더라. 그 자리에서 아무 말도 못 했어.
E00149,직장,상처,중년,F,오늘 회의에서 발표를 망쳤어. 며칠째 마음이 안 좋아.
E00150,대인관계,슬픔,청년,F,모임에서 나만 빼고 약속을 잡았더라. 밤에 잠도 안 오고 계속 그 생각만 나.
E00151,직장,슬픔,청년,F,이번 달도 야근 수당이 안 들어왔어. 뭐라고 말해야 할지 모르겠어.
E00152,연애,불안,중년,F,애인이 내 생일을 잊었어. 잘못될까 봐 밤에 잠이 안 와.
E00153,직장,분노,중년,F,출근길에 지하철에서 쓰러질 뻔했어. 왜 나한테만 이러는 건지 억울해.
E00154,대인관계,기쁨,청년,F,오랜만에 옛 친구한테 연락이 왔어. 괜히 예민해지는 것 같아.
E00155,직장,슬픔,청년,F,출근길에 지하철에서 쓰러질 뻔했어. 요즘 왜 이렇게 다 허무한지 모르겠어.
E00156,직장,상처,중년,F,오늘 회의에서 발표를 망쳤어. 믿었던 사람한테 이런 일 당하니까 더 아파.
E00157,학업,불안,청년,F,같은 조 애들이 아무것도 안 해. 앞으로 어떻게 될지 몰라서 계속 불안해.
E00158,가족,불안,중년,F,시어머니가 갑자기 집에 오신대. 잘못될까 봐 밤에 잠이 안 와.
E00159,직장,분노,청년,F,동기가 먼저 승진했어. 진짜 화가 나서 참을 수가 없어.
E00160,대인관계,불안,청년,M,이웃이 층간소음으로 찾아왔어. 그냥 마음이 복잡해.
E00161,직장,상처,청년,F,출근길에 지하철에서 쓰러질 뻔했어. 나를 그렇게밖에 안 봤다는 게 서운해.
E00162,학업,슬픔,청년,F,밤새 공부했는데 문제가 다 처음 보는 거였어. 이런 내가 좀 낯설어.
E00163,건강,불안,중년,M,요즘 잠을 통 못 자. 괜히 예민해지는 것 같아.
E00164,직장,슬픔,청년,F,상사한테 보고서 때문에 한 소리 들었어. 뭘 해도 마음이 텅 빈 것 같아.
E00165,연애,당황,청년,M,여자친구가 갑자기 연락을 끊었어. 그 자리에서 아무 말도 못 했어.
E00166,직장,상처,중년,F,회사에서 갑자기 부서 이동하래. 그 말이 계속 마음에 남아.
E00167,학업,불안,중년,F,시험 성적이 생각보다 안 나왔어. 뭘 어떻게 해야 할지 모르겠어서 초조해.
E00168,대인관계,슬픔,중년,M,모임에서 나만 빼고 약속을 잡았더라. 그냥 좀 지쳐.
E00169,연애,당황,청년,M,남자친구랑 어제 크게 싸웠어. 갑자기 이런 일이 생길 줄 몰랐어.
E00170,직장,분노,청년,M,이번 달도 야근 수당이 안 들어왔어. 왜 나한테만 이러는 건지 억울해.
E00171,직장,슬픔,노년,F,퇴근하고 집에 오면 아무것도 못 하겠어. 괜히 예민해지는 것 같아.
E00172,대인관계,불안,청년,M,친한 친구가 내 뒷담화를 했대. 기분이 계속 가라앉아.
E00173,대인관계,불안,청년,F,모임에서 나만 빼고 약속을 잡았더라. 자꾸 최악의 상황만 상상하게 돼.
E00174,직장,분노,청년,F,상사한테 보고서 때문에 한 소리 들었어. 며칠째 마음이 안 좋아.
E00175,직장,기쁨,청년,F,연봉 협상이 생각보다 잘 됐어. 오늘은 뭘 해도 다 잘될 것 같아.
E00176,대인관계,슬픔,청년,M,모임에서 나만 빼고 약속을 잡았더라. 뭘 해도 마음이 텅 빈 것 같아.
E00177,학업,분노,청년,M,논문 심사가 다음 주야. 당장 따지고 싶은데 참느라 힘들어.
E00178,금전,슬픔,청년,M,주식이 반토막 났어. 괜히 예민해지는 것 같아.
E00179,가족,기쁨,노년,F,동생이 취직했어. 그냥 좀 지쳐.
E00180,가족,상처,중년,F,명절에 친척들이 취업 얘기만 물어봤어. 믿었던 사람한테 이런 일 당하니까 더 아파.
E00181,금전,상처,청년,F,주식이 반토막 났어. 나를 그렇게밖에 안 봤다는 게 서운해.
E00182,건강,분노,중년,M,요즘 잠을 통 못 자. 잠도 잘 안 오고 계속 뒤척여.
E00183,연애,분노,중년,F,여자친구가 갑자기 연락을 끊었어. 생각할수록 열받아.
E00184,가족,상처,노년,F,아빠랑 또 말다툼했어. 뭐라고 말해야 할지 모르겠어.
E00185,연애,분노,중년,F,결혼 얘기가 나오니까 둘 다 말이 없어졌어. 생각할수록 열받아.
E00186,가족,당황,중년,F,아빠랑 또 말다툼했어. 하루 종일 그 생각만 나.
E00187,가족,슬픔,청년,M,아빠랑 또 말다툼했어. 아무것도 하기 싫고 자꾸 가라앉아.
E00188,건강,기쁨,노년,F,다이어트 목표를 드디어 달성했어. 요즘 이런 일이 계속 생기니까 살 맛 나.
E00189,대인관계,분노,청년,M,친구가 돈을 빌려 가고 연락이 없어. 이런 내가 좀 낯설어.
E00190,직장,당황,청년,F,팀장이 내 아이디어를 자기 거라고 발표했어. 뭐라고 해야 할지 몰라서 머리가 하얘졌어.
E00191,직장,불안,청년,F,상사한테 보고서 때문에 한 소리 들었어. 괜히 예민해지는 것 같아.
E00192,연애,기쁨,중년,M,오늘 프러포즈 받았어. 그동안 고생한 보람이 있네.
E00193,연애,불안,중년,M,헤어진 지 한 달 됐는데 아직 생각나. 뭐라고 말해야 할지 모르겠어.
E00194,연애,기쁨,중년,F,소개팅에서 만난 사람이 또 연락 왔어. 그동안 고생한 보람이 있네.
E00195,연애,슬픔,중년,M,애인이 내 생일을 잊었어. 그냥 하루 종일 눈물만 나.
E00196,학업,상처,중년,F,논문 심사가 다음 주야. 아무렇지 않은 척하는 게 제일 힘들어.
E00197,가족,분노,청년,M,아빠랑 또 말다툼했어. 생각할수록 열받아.
E00198,연애,기쁨,노년,M,소개팅에서 만난 사람이 또 연락 왔어요. 오늘은 뭘 해도 다 잘될 것 같아요.
E00199,금전,당황,중년,M,친구 결혼식이 세 개나 겹쳤어. 예상을 완전히 벗어나서 정신이 없어.
E00200,가족,불안,청년,M,명절에 친척들이 취업 얘기만 물어봤어. 뭘 어떻게 해야 할지 모르겠어서 초조해.
E00201,대인관계,슬픔,청년,M,친한 친구가 내 뒷담화를 했대. 아무것도 손에 안 잡혀.
E00202,연애,불안,청년,F,결혼 얘기가 나오니까 둘 다 말이 없어졌어. 자꾸 최악의 상황만 상상하게 돼.
E00203,직장,분노,중년,M,출근길에 지하철에서 쓰러질 뻔했어. 당장 따지고 싶은데 참느라 힘들어.
E00204,가족,상처,중년,M,시어머니가 갑자기 집에 오신대. 속이 좀 시끄러워.
E00205,대인관계,슬픔,청년,M,친구가 돈을 빌려 가고 연락이 없어. 요즘 왜 이렇게 다 허무한지 모르겠어.
E00206,대인관계,상처,청년,M,친구가 돈을 빌려 가고 연락이 없어. 잠도 잘 안 오고 계속 뒤척여.
E00207,대인관계,상처,중년,M,친구가 돈을 빌려 가고 연락이 없어. 나를 그렇게밖에 안 봤다는 게 서운해.
E00208,직장,기쁨,청년,F,연봉 협상이 생각보다 잘 됐어. 오늘은 뭘 해도 다 잘될 것 같아.
E00209,직장,상처,중년,F,동기가 먼저 승진했어. 내가 그렇게 하찮은 사람인가 싶어.
E00210,직장,불안,중년,M,상사한테 보고서 때문에 한 소리 들었어. 뭘 어떻게 해야 할지 모르겠어서 초조해.
E00211,직장,상처,청년,M,팀장이 내 아이디어를 자기 거라고 발표했어. 아무렇지 않은 척하는 게 제일 힘들어.
E00212,직장,분노,중년,M,프로젝트 마감이 코앞인데 아무것도 안 됐어. 당장 따지고 싶은데 참느라 힘들어.
E00213,직장,분노,청년,F,퇴근하고 집에 오면 아무것도 못 하겠어. 잠도 잘 안 오고 계속 뒤척여.
E00214,학업,기쁨,중년,M,교수님이 내 발표를 칭찬해 주셨어. 그동안 고생한 보람이 있네.
E00215,대인관계,슬픔,청년,F,친한 친구가 내 뒷담화를 했대. 요즘 왜 이렇게 다 허무한지 모르겠어.
E00216,직장,불안,청년,F,프로젝트 마감이 코앞인데 아무것도 안 됐어. 앞으로 어떻게 될지 몰라서 계속 불안해.
E00217,학업,기쁨,청년,M,장학금 결과가 나왔어. 그냥 마음이 복잡해.
E00218,가족,슬픔,중년,M,시어머니가 갑자기 집에 오신대. 기분이 계속 가라앉아.
E00219,금전,불안,노년,F,카드값이 월급보다 많이 나왔어요. 앞으로 어떻게 될지 몰라서 계속 불안해요.
E00220,대인관계,상처,중년,M,친한 친구가 내 뒷담화를 했대. 믿었던 사람한테 이런 일 당하니까 더 아파.
E00221,건강,기쁨,청년,F,다이어트 목표를 드디어 달성했어. 그동안 고생한 보람이 있네.
E00222,학업,슬픔,노년,M,논문 심사가 다음 주야. 혼자 있으면 자꾸 울게 돼.
E00223,건강,불안,중년,F,병원에서 재검사하래. 걱정돼서 밥도 잘 안 넘어가.
E00224,연애,불안,청년,F,남자친구랑 어제 크게 싸웠어. 자꾸 최악의 상황만 상상하게 돼.
E00225,직장,상처,노년,M,상사한테 보고서 때문에 한 소리 들었어. 믿었던 사람한테 이런 일 당하니까 더 아파.
E00226,직장,슬픔,노년,F,회사에서 갑자기 부서 이동하래. 밤에 잠도 안 오고 계속 그 생각만 나.
E00227,대인관계,당황,노년,F,친한 친구가 내 뒷담화를 했대. 예상을 완전히 벗어나서 정신이 없어요.
E00228,연애,슬픔,청년,M,헤어진 지 한 달 됐는데 아직 생각나. 혼자 있으면 자꾸 울게 돼.
E00229,학업,상처,중년,M,취업 준비랑 학교 수업을 같이 하니까 시간이 없어. 그냥 마음이 복잡해.
E00230,학업,당황,중년,M,시험 성적이 생각보다 안 나왔어. 괜히 예민해지는 것 같아.
E00231,가족,상처,중년,F,부모님이 자꾸 결혼 얘기를 하셔. 하루 종일 그 생각만 나.
E00232,직장,분노,청년,F,야근이 삼 주째 이어지고 있어. 진짜 화가 나서 참을 수가 없어.
E00233,대인관계,기쁨,노년,M,새로 간 모임에서 사람들이 잘 챙겨줬어. 진짜 오랜만에 기분이 날아갈 것 같아.
E00234,금전,슬픔,노년,M,카드값이 월급보다 많이 나왔어요. 그냥 하루 종일 눈물만 나요.
E00235,대인관계,당황,청년,M,친구가 돈을 빌려 가고 연락이 없어. 뭐라고 해야 할지 몰라서 머리가 하얘졌어.
E00236,직장,기쁨,노년,M,동료가 내 실수를 다 덮어줬어요. 진짜 오랜만에 기분이 날아갈 것 같아요.
E00237,직장,불안,청년,F,퇴근하고 집에 오면 아무것도 못 하겠어. 앞으로 어떻게 될지 몰라서 계속 불안해.
E00238,직장,상처,중년,M,프로젝트 마감이 코앞인데 아무것도 안 됐어. 아무것도 손에 안 잡혀.
E00239,금전,불안,중년,F,친구 결혼식이 세 개나 겹쳤어. 걱정돼서 밥도 잘 안 넘어가.
E00240,가족,분노,청년,M,명절에 친척들이 취업 얘기만 물어봤어. 진짜 화가 나서 참을 수가 없어.
E00241,건강,불안,노년,F,건강검진 결과가 안 좋게 나왔어. 며칠째 마음이 안 좋아.
E00242,연애,슬픔,중년,M,헤어진 지 한 달 됐는데 아직 생각나. 그냥 마음이 복잡해.
E00243,가족,슬픔,중년,F,시어머니가 갑자기 집에 오신대. 그냥 하루 종일 눈물만 나.
E00244,연애,당황,청년,F,결혼 얘기가 나오니까 둘 다 말이 없어졌어. 어떻게 반응해야 할지 모르겠더라.
E00245,직장,슬픔,청년,F,이번 달도 야근 수당이 안 들어왔어. 밤에 잠도 안 오고 계속 그 생각만 나.
E00246,가족,당황,청년,M,엄마가 병원에 입원하셨어. 그냥 마음이 복잡해.
